4.29E-21	0	7.81E-21	5.08E-21	0.854595795	4.75E-07	0.374438347	0.162779763	0.360732921	3.12E-03	3.06E-20	2.89E-20	2.09E-20	0.119950391	6.89E-03	5.72E-03	8.64E-05	0.579656315	2.08E-03	1.69E-02	1.60E-06	2.06E-08	1.45E-08	1.39E-05	1.04E-05	1.82E-06	2.70E-06	2.38E-06	9.58E-07	1.35E-05	7.78E-06	7.52E-06	2.91E-08
4.32E-21	0	7.86E-21	5.11E-21	1.149116238	1.42E-06	0.517886095	0.174683237	0.521673656	4.68E-03	3.08E-20	2.91E-20	6.14E-09	0.133915746	7.52E-03	9.41E-03	3.15E-04	0.854220506	2.89E-03	2.90E-02	4.72E-06	5.22E-08	3.12E-08	1.52E-05	1.15E-05	2.71E-06	2.85E-06	2.50E-06	1.01E-06	1.41E-05	8.44E-06	9.05E-06	8.26E-08
4.33E-21	0	7.88E-21	5.12E-21	1.429212845	3.85E-06	0.653699212	0.18578893	0.675158502	6.13E-03	3.09E-20	2.92E-20	3.24E-08	0.146938708	8.10E-03	1.31E-02	9.99E-04	1.115112729	3.65E-03	4.29E-02	1.30E-05	1.22E-07	6.13E-08	1.65E-05	1.25E-05	3.56E-06	2.99E-06	2.60E-06	1.05E-06	1.47E-05	9.05E-06	1.05E-05	1.89E-07
4.35E-21	0	7.91E-21	5.14E-21	1.694095498	1.03E-05	0.78189774	0.196155001	0.820226431	7.48E-03	3.10E-20	2.93E-20	9.84E-08	0.159128904	8.64E-03	1.66E-02	2.49E-03	1.360018766	4.37E-03	5.73E-02	3.40E-05	2.76E-07	1.15E-07	1.76E-05	1.34E-05	4.36E-06	3.13E-06	2.70E-06	1.09E-06	1.52E-05	9.63E-06	1.18E-05	3.45E-07
4.36E-21	0	7.93E-21	5.15E-21	1.944296251	2.75E-05	0.902436273	0.205851446	0.957043243	8.75E-03	3.11E-20	2.93E-20	2.62E-07	0.170531601	9.15E-03	1.99E-02	4.62E-03	1.589397297	5.03E-03	7.12E-02	8.23E-05	6.23E-07	2.14E-07	1.87E-05	1.42E-05	5.11E-06	3.25E-06	2.80E-06	1.13E-06	1.57E-05	1.02E-05	1.30E-05	5.24E-07
4.37E-21	0	7.95E-21	5.16E-21	2.179084933	7.66E-05	1.015381628	0.21497001	1.085175533	9.93E-03	3.12E-20	2.94E-20	6.82E-07	0.181210997	9.63E-03	2.30E-02	6.92E-03	1.804092902	5.66E-03	8.43E-02	1.71E-04	1.41E-06	3.96E-07	1.98E-05	1.50E-05	5.81E-06	3.37E-06	2.89E-06	1.17E-06	1.62E-05	1.07E-05	1.42E-05	7.05E-07
4.36E-21	0	7.94E-21	5.16E-21	2.400057271	2.35E-04	1.121333449	0.223587436	1.205759951	1.10E-02	3.11E-20	2.94E-20	1.87E-06	0.191263891	1.01E-02	2.59E-02	9.15E-03	2.005327169	6.24E-03	9.65E-02	2.95E-04	3.14E-06	7.42E-07	2.07E-05	1.58E-05	6.47E-06	3.48E-06	2.97E-06	1.21E-06	1.67E-05	1.11E-05	1.53E-05	8.78E-07
4.36E-21	0	7.94E-21	5.16E-21	2.607778452	9.06E-04	1.220802952	0.231738031	1.318908274	1.21E-02	3.11E-20	2.94E-20	6.71E-06	0.200744112	1.05E-02	2.86E-02	1.13E-02	2.194558439	6.79E-03	0.108032445	4.32E-04	6.64E-06	1.41E-06	2.17E-05	1.65E-05	7.09E-06	3.58E-06	3.05E-06	1.24E-06	1.71E-05	1.16E-05	1.63E-05	1.04E-06
4.35E-21	0	7.91E-21	5.14E-21	2.803948037	3.16E-03	1.314428234	0.239547723	1.425323597	1.31E-02	3.10E-20	2.93E-20	3.30E-05	0.209725106	1.09E-02	3.12E-02	1.33E-02	2.372633356	7.31E-03	0.11883775	5.67E-04	1.25E-05	2.74E-06	2.25E-05	1.71E-05	7.67E-06	3.69E-06	3.13E-06	1.27E-06	1.75E-05	1.20E-05	1.73E-05	1.19E-06
4.34E-21	0	7.89E-21	5.13E-21	2.990151699	6.86E-03	1.402683333	0.247020026	1.525389116	1.40E-02	3.09E-20	2.92E-20	1.03E-04	0.218271074	1.13E-02	3.36E-02	1.52E-02	2.540818558	7.80E-03	0.129009351	6.97E-04	2.03E-05	5.41E-06	2.34E-05	1.78E-05	8.22E-06	3.78E-06	3.20E-06	1.30E-06	1.79E-05	1.24E-05	1.82E-05	1.34E-06
